company,title,summary
"


        JPMorgan Chase
",CIB Operations Data Science– Data Science and Analytics – Associate - London,"
CIB Operations Data Science– Data Science and Analytics – Associate - London. Professional experience as a data scientist or a related software engineering role..."
"


        NPL
",Electronics Design Engineer,"
Experience specifying data acquisition hardware against specified requirements. Ability to communicate with engineers and scientists and translate requirements..."
"

    Client Server
",Java Developer SQL Java - Machine Learning,"
Good understanding of relational databases, SQL and Data Modelling with experience of analysing large data sets...."
"


        Volt Europe
",Senior LC/MS Scientist,"
Senior LC/MS Scientist. LC-MS/MS / troubleshooting / biomarker / non-smoker/ liquid-liquid extraction / solid phase extraction / GLP / GCP / APISciex / Standard..."
"

    McGregor Boyall
","Lead Engineer, BI and Data Science","
Keywords - Business Intelligence, BI, Data Science, Data Scientist,. Coach Data Scientists in the efficient use of data processing tools...."
"

    Hyper Recruitment Solutions Ltd
",Senior Technician - Manufacturing,"
Collate, analyse and evaluate data ready for final QC pass and helping resolve any technical issues with the purification process...."
"

    SEC Recruitment
",HEOR Statistician / Econometrician (senior consultant level),"
As the senior statistician you will work as part of the modelling team, with responsibility for analysis of clinical trial data to populate economic models, and..."
"

    Harnham
",SENIOR CUSTOMER SCIENTIST - R/PYTHON/SQL - .COM BRAND,"
THE ROLE - Senior Customer Scientist:. Senior Customer Scientist - R/Python/SQL - .com Brand. SQL, R, Insight, Analyst, Customer, Regression, Propensity,..."
"


        Health and Safety Executive
",Mechanical Engineer,"
HID employs around 300 professional engineers and scientists across a wide range of disciplines. Please note you will be requested to remove any personal data..."
"

    C.K. Associates Limited
",Medical Information Scientist/Pharmacist,"
Interpret and analyse clinical data. Hendre Moolman is currently recruiting for a Medical Information Scientist to join a pharmaceutical company based in..."
"

    CK Science
",QC Scientist,"
Record data into appropriate records and notify the Senior QC Scientist and/or QC Manager of any OOS, OOT, OOE or questionable results...."
"

    CK Science
",Physical Properties Scientist,"
Making a contribution to the progression of the Programme(s) and Project(s), as appropriate, primarily via the generation of Physical Properties analytical data..."
"

    CK Science
",Bioanalysis Scientist,"
Experience of handling data within a LIMS. For more information or to apply for this Bioanalysis Scientist position please contact Natalie on 01246 457700 or..."
"

    CK Clinical
",Medical Information Scientist/ Pharmacist,"
Interpret and analyse clinical data. Hendre Moolman is currently recruiting for a Medical Information Scientist to join a pharmaceutical company based in..."
"

    TechNET IT Recruitment Ltd
",AI Specialist – Leading Health Care Company,"
You will be working with highly skilled data science, NLP, data, engineering and product teams to release great products across the company...."
"

    CK Science
",Biologicals Scientist,"
This work is completed within a regulatory framework to deliver high quality analytical data to clients. For more information or to apply for this Biologicals..."
"

    UCB S.A.
","Research Scientist/Senior Scientist, Bone Research","
Research Scientist/Senior Scientist. Excellent attention to detail with the ability to maintain meticulous documentation of experiments and data...."
"

    RCQ Associates
",(Matlab) Quantitative Analyst,"
(Matlab) Quantitative Analyst A leading city of London headquartered Asset Manager is seeking a Quantitative Research and Development Analyst to join their"
"


        JPMorgan Chase
",Corporate - Risk - Quantitative Analyst – Model Validation – Rates - VP - London,"
Corporate - Risk - Quantitative Analyst – Model Validation – Rates - VP - London - 160060344 Job Description Model Risk Group (MRG) carries out the review"
"

    Nicoll Curtin
",Quantitative Analyst - Investment Bank,"
Data analysis for trends and signal extraction. Experience in analysing large volumes of data including cleaning and subsequent pattern identification and..."
"

    Animal and Plant Health Agency
",Scientific support for advice to policy - APHAs Epidemiology & Risk Policy Advice Team,"
 Experience of working in the development of data systems.  Experience of scientific data handling include use of relevant software...."
"

    Positive Digital
",Digital Marketing Executive,"
We come from a wide variety of backgrounds and our rich, deep and varied expertise includes data scientists, client-side marketers, creative story tellers,..."
"

    Energon Global
",Cloud Solutions Architect -learn AWS machine learning,"
Own the cloud data platform. A Cloud Solutions Architect is sought by this major betting and gaming company to join their award winning Platform team and own..."
"

    Harnham
",LEAD DATA ENGINEER | PYTHON | REDSHIFT | REAL-TIME ANALYTICS,"
You'll be fully responsible for technology choice and build an advanced team of Data Engineers & Data Scientists around you...."
"


        P&G
",Research & Development Microbiologist Scientist,"
Research & Development Microbiologist Scientist. Lead microbial testing, data interpretation and. Writing and the ability to convey technical concepts and data..."
"

    CK Science
",Neuroscientist,"
Ability to analyse and interpret high-content imaging and functional data. Analyse high-content imaging and functional experimental data sets· Provide technical..."
"


        Reed Elsevier
",Senior Quality Test Engineer,"
Collaboration between scientists globally. Data, we put our users first. Building a best-in-class research data repository (see...."
"


        Reading
",Machine Learning / Deep Learning Specialist - NLP - Tech-start up -Lo,"
You will have the opportunity to explore research topics and work autonomously to come up solutions to complex data problems and build prototypes...."
"

    Harnham
",SENIOR DATA SCIENTIST - CONSULTANCY - FINANCE,"
Senior Data Scientist. Senior Data Scientist - Consultancy - Finance. As a Senior Data Scientist you will:...."
"

    Meet Recruitment
",PV SDEA Specialist,"
Review and provide technical insight to investigator brochures, protocols, informed consents, final study reports and external data monitoring committee..."
"

    SQ Computer Personnel Limited
",Technical Lead,"
The Technical Lead will be helping to build the Data repository, a place where scientists can upload and share their research data...."
"

    CK Science
",Physical Properties Scientist,"
Making a contribution to the progression of the Programme(s) and Project(s), as appropriate, primarily via the generation of Physical Properties analytical data..."
"

    CK Science
",Bioanalysis Scientist,"
Experience of handling data within a LIMS. For more information or to apply for this Bioanalysis Scientist position please contact Natalie on 01246 457700 or..."
"

    CK Clinical
",Medical Information Scientist/ Pharmacist,"
Interpret and analyse clinical data. Hendre Moolman is currently recruiting for a Medical Information Scientist to join a pharmaceutical company based in..."
"

    TechNET IT Recruitment Ltd
",AI Specialist – Leading Health Care Company,"
You will be working with highly skilled data science, NLP, data, engineering and product teams to release great products across the company...."
"

    CK Science
",Biologicals Scientist,"
This work is completed within a regulatory framework to deliver high quality analytical data to clients. For more information or to apply for this Biologicals..."
"

    UCB S.A.
","Research Scientist/Senior Scientist, Bone Research","
Research Scientist/Senior Scientist. Excellent attention to detail with the ability to maintain meticulous documentation of experiments and data...."
"

    RCQ Associates
",(Matlab) Quantitative Analyst,"
(Matlab) Quantitative Analyst A leading city of London headquartered Asset Manager is seeking a Quantitative Research and Development Analyst to join their"
"


        JPMorgan Chase
",Corporate - Risk - Quantitative Analyst – Model Validation – Rates - VP - London,"
Corporate - Risk - Quantitative Analyst – Model Validation – Rates - VP - London - 160060344 Job Description Model Risk Group (MRG) carries out the review"
"

    Nicoll Curtin
",Quantitative Analyst - Investment Bank,"
Data analysis for trends and signal extraction. Experience in analysing large volumes of data including cleaning and subsequent pattern identification and..."
"

    Animal and Plant Health Agency
",Scientific support for advice to policy - APHAs Epidemiology & Risk Policy Advice Team,"
 Experience of working in the development of data systems.  Experience of scientific data handling include use of relevant software...."
"

    Meet Recruitment
",Senior Pharmacovigilance Officer,"
Work around Safety Data Exchange Agreements (SDEAs) in various forms:. Snr Drug Safety Officer opportunity for a Scientist with 3+ years pharmacovigilance..."
"

    Harnham
",TABLEAU DEVELOPER,"
Data Science/Analytics Agency. Work closely with some of the UK's brightest data engineers and data scientists and big name clients to create top end..."
"

    Harnham
",SENIOR/LEAD DATA ENGINEER | SOCIAL MEDIA ANALYTICS | HADOOP,"
As Data Engineer, you'll be responsible for designing and developing high performance, scalable data pipelines & data platforms, based on Hadoop, Spark and a..."
"


        Lonza
",Senior Scientist/Study Director - Analytical Services,"
Coach and mentor junior scientists to write protocols and reports. Scientific interpretation of data, highlighting any unusual or atypical results and leading..."
"

    Harnham
",SENIOR DATA SCIENTIST - RESEARCH & DEVELOPMENT,"
Senior Data Scientist. Senior Data Scientist - Research & Development. No longer be analysing large sets of legacy data, instead you'll be working on clean,..."
"


        Reckitt Benckiser Group
",Medical Scientist,"
Support the teams regarding new clinical data or medical press coverage. Build understanding of the literature, product data, competitors and current medical..."
"

    CK Group
",Neuroscience Senior Researcher,"
Designing experiments, producing data, interpreting data and contributing to current and future collaboration projects...."
"

    Amazon EU SARL (UK Branch)
",Sr. Product Manager Technical,"
The successful candidate will be a person who enjoys and excels at diving into data to analyze root causes and implement long term solutions – changes in..."
"


        Kerry
",Brand Manager - Innovation,"
Of our 23,000 people over 800 are scientists, demonstrating how innovation and technology lie at the heart of our organisation, and always will do...."
"

    Arc IT Recruitment.
",PW3988 Scala Developer,"
In return, you will be working with a team of highly academic and skilled data engineers, software engineers and data scientist...."
"

    Mobile Team
",Android Developer Java Mobile - Machine Learning,"
Android Developer / Java Software Engineer (Android Java AI Mathematics Machine Learning). Hugely innovative IOT start-up is seeking a skilled Android"
"

    Claremont Consulting
",Risk Manager,"
Data Scientist (Risk Modeler) - London - Salary negotiable. I'm looking for a Data Scientist for a key client of mine that works within capital markets...."
"


        Skyscanner
",Senior Backend Engineer,"
Experience of statistical analysis and collaborating with data scientists is a bonus. Proven success in developing and driving improvement of Backend data..."
"

    UCB S.A.
","Principal/Senior Principal Scientist, Biomarker","
Principal/Senior Principal Scientist. Work with the project teams and Biomarker Specialist to deliver critical data in a timely manner...."
"


        GlaxoSmithKline
",Associate Medical Director - SERM,"
O Developing safety plans and strategy for safety data collection, data analysis and interpretation. Analytical thinking, with proven ability to analyse..."
"

    Oxford Knight Limited
",DevOps Engineer - SaaS fintech - Python / Docker / MongoDB / CI,"
My client is a high-growth, financial technology start-up based in London - using big data analytics, natural language processing, and machine learning to..."
"

    LinkPoint Resources Ltd
",Clinical Trials Contract Manager,"
Reply promptly to queries from scientists, clinicians and study teams and keep them apprised of progress. Strong IT skills, with the ability to use computerised..."
"

    Scintillant
",Clinical Trials Contract Manager,"
Reply promptly to queries from scientists, clinicians and study teams and keep them apprised of progress. Strong IT skills, with the ability to use computerised..."
"

    Harnham
",SENIOR CUSTOMER SCIENTIST- SAS/R - ONLINE,"
Experience analysing customer data. Senior Customer Scientist - SAS/R - Online. You will be joining a team of SAS/R data scientists and will have the chance to..."
"

    Berkeley Square IT
",DevOps Engineer,"
Your role will be to work alongside a team of passionate data scientists, developers, UX designers and NLP specialists to develop and release great products...."
"

    Xcede Digital
",Senior Software Engineer,"
If you are interested in this or other Data Scientist opportunities please contact Matthew Jones on matthew.jones@xcede.co.uk or +44(0)203 301 9931...."
"

    The JM Group
",Quantitative Analyst / Financial Engineer,"
Financial Services Company is hiring for a Quantitative Analyst for their team based in London. Salary range is between £60K - £95K. You will be responsible"
"

    Caerusa Consulting Ltd
",Business Solutions Architect - Award winning data science agency,"
Please only apply if you consider yourself to be one of the best in the industry & are ready to work at the very bleeding edge of data analytics, predictive..."
"

    Client Server
",C# Developer C# .Net Data Agile,"
As a C# Developer you'll you be working alongside Data Scientists and domain experts within an engineering environment...."
"


        National Physical Laboratory
","IT Apprenticeship – IT, Software, Web & Telecoms Professionals","
Network administration of data and VOIP systems. You will provide first line support to end users and scientists and support for IT projects gaining a real..."
"

    Zest Scientific
",Bioassay Scientist.,"
Are you an Analytical Scientist proficient within Bioassays? At least 2 years of demonstrated QC experience (sample preparation, sample analysis/testing, data..."
"

    ABILITY Resorucing Ltd
","Software Engineer - Java, tensor flow","
Working with Data Scientists applying NLP and Machine Learning approaches to large scale data extraction, using frameworks such as Tensor Flow, and Spark...."
"

    Client Server
",C# Developer C# .Net - Machine Learning,"
C# Developer / Senior .Net Software Engineer (Agile Machine Learning C# .Net). Hugely innovative sports content company is seeking skilled a Senior C#"
"

    Lyst
",Senior Python Engineer - Microservices,"
50 engineers and data scientists. Our internal analytics system collects ~100M data points/day. A secure data management and CRM system for internal and..."
"

    Meet Recruitment
",Senior Statistician,"
Working as a Senior Statistician within this dynamic, innovative and exciting clinical data division you have the opportunity to work either home or office..."
"

    CK Group
",Analytical Scientist - Hertfordshire,"
Records data and maintain a laboratory notebook. Assist in generating analytical data for regulatory submissions...."
"

    Softweb Resourcing Ltd
",Audio Research Engineer - DSP / Machine Learning / Speech / Acoustics,"
Audio Research Engineer - DSP / Machine Learning / Speech / Acoustics Audio Research Engineer - Commercial Audio Products - Cambridge An exciting role for an"
"

    ACS Performance
",Scientist,"
Writing proposals, costing, designing, conducting the project fieldwork, analysing the data using appropriate statistical tools, interpreting data and reporting..."
"


        GlaxoSmithKline
",Medical Director SERM,"
Provides medical expertise to signal detection and subsequent evaluation for designated products in partnership with the responsible safety scientist..."
"

    LMA Recruitment
",Quantitative Analyst - Risk Modeling,"
An exceptional opportunity has arisen for a talented quantitative analyst to join an elite team in a risk modeling and analytics function. The role will"
"

    CK Clinical
",Clinical Safety Scientist,"
Researching new raw data AE terms and mapping of raw data AE terms to dictionary codes and coding conventions...."
"


        Kerry
",Operations Accountant FTC,"
Of our 23,000 people over 800 are scientists, demonstrating how innovation and technology lie at the heart of our organisation, and always will do...."
"

    Meet Recruitment
",Medical Monitor Multiple Sclerosis,"
Directly monitor patient safety when dosing deviation begins and report data accordingly. This is a fantastic opportunity for a Doctor who is looking for their..."
"

    TechNET IT Recruitment Ltd
",Technical Sales Consultant- Exciting Start-UP- £40-£60k!,"
They develop their systems using graph technologies that enable them to perform parallelised semantic search on big data...."
"


        Reckitt Benckiser Group
",Medical Scientist 9-12mnth Maternity Cover,"
Support the teams regarding new clinical data or medical press coverage. Build understanding of the literature, product data, competitors and current medical..."
"

    CK Group
",Analytical Scientist - Hertfordshire,"
Records data and maintain a laboratory notebook. Assist in generating analytical data for regulatory submissions...."
"

    Softweb Resourcing Ltd
",Audio Research Engineer - DSP / Machine Learning / Speech / Acoustics,"
Audio Research Engineer - DSP / Machine Learning / Speech / Acoustics Audio Research Engineer - Commercial Audio Products - Cambridge An exciting role for an"
"

    ACS Performance
",Scientist,"
Writing proposals, costing, designing, conducting the project fieldwork, analysing the data using appropriate statistical tools, interpreting data and reporting..."
"


        GlaxoSmithKline
",Medical Director SERM,"
Provides medical expertise to signal detection and subsequent evaluation for designated products in partnership with the responsible safety scientist..."
"

    LMA Recruitment
",Quantitative Analyst - Risk Modeling,"
An exceptional opportunity has arisen for a talented quantitative analyst to join an elite team in a risk modeling and analytics function. The role will"
"

    CK Clinical
",Clinical Safety Scientist,"
Researching new raw data AE terms and mapping of raw data AE terms to dictionary codes and coding conventions...."
"


        Kerry
",Operations Accountant FTC,"
Of our 23,000 people over 800 are scientists, demonstrating how innovation and technology lie at the heart of our organisation, and always will do...."
"

    Selby Jennings
",Quantitative Analyst / Financial Engineer,"
Junior – Mid level Quantitative Analyst / Financial Engineer – London based Investment Research firm A client of ours is looking for an energetic, outgoing,"
"

    VRS-UK
",Senior Manufacturing Scientist,"
As a senior team member you will also deputise for management when required and be available for problem solving, troubleshooting and QC data analysis...."
"

    Meet Recruitment
",Medical Monitor Multiple Sclerosis,"
Directly monitor patient safety when dosing deviation begins and report data accordingly. This is a fantastic opportunity for a Doctor who is looking for their..."
"

    TechNET IT Recruitment Ltd
",Technical Sales Consultant- Exciting Start-UP- £40-£60k!,"
They develop their systems using graph technologies that enable them to perform parallelised semantic search on big data...."
"


        Reckitt Benckiser Group
",Medical Scientist 9-12mnth Maternity Cover,"
Support the teams regarding new clinical data or medical press coverage. Build understanding of the literature, product data, competitors and current medical..."
"

    more2
",Database Developer,"
More2 are the UK’s leading data analytics and marketing consultancy for multi-channel retailers. Combining a team of over 100 experienced, commercial and..."
"

    AXESS
",Clinical Science Manager,"
Responsibility for the clinical science review of trial data, e.g., including but not limited to, demographic, efficacy and safety data, protocol violations..."
"


        The Source
",Senior Business Intelligence Specialist,"
Skills SQL, Transact SQL, PL/SQL, BI, Data Analysis, Data warehouse, Database, Data discovery, data extraction...."
"

    AXESS
",Contract PV / Safety Physician,"
Participation in ongoing safety review of instream data from clinical studies. Contribution to end of study review of new safety data...."
"


        Institute of Cancer Research
",Postdoctoral Training Fellow - Paediatrics,"
They will also be responsible for data analysis and interpretation using advanced bioinformatics software and will generate clinical reports...."
"

    Harnham
",SENIOR DATA ENGINEER - SPORTS MEDIA - PYTHON/ AWS/ REDSHIFT,"
A sports media organisation are looking for a Data Engineer to platform data for Data Scientists using Python, SQL, Redshift initially, moving to Data Streaming..."
"

    Harnham
",SENIOR/LEAD DATA ENGINEER | SQL | HADOOP | ETL,"
As Data Engineer, your role will be end-to-end, working closely with clients to understand their requirements (which will be very advanced!), before designing..."
"


        JPMorgan Chase
",CIB Operations Data Science– Data Science and Analytics – Associate - London,"
CIB Operations Data Science– Data Science and Analytics – Associate - London. Professional experience as a data scientist or a related software engineering role..."
"

    Harnham
",LEAD BIG DATA ENGINEER/ARCHITECT | SOCIAL MEDIA ANALYTICS,"
As part of a cutting edge Data Science team, you'll be responsible for developing greenfield data platforms to analyse complex data from a whole host of social..."
"


        Adecco
",Sensory Analyst & Panel Leader,"
Data handling, data quality checks and reporting. 5 Sensory Scientists. Ideally sensory experience including statistics related to - - Sensory data handling...."
"

    TechNET IT Recruitment Ltd
",Cluster Engineer – Innovate Start Up,"
They develop their systems using graph technologies that enable them to perform parallelised semantic search on big data...."
"

    Harnham
",SENIOR SAS/R STATISTICIAN – MARKETING CONSULTANCY,"
Proven experience in SAS or R to analyse large sets of data. You will work with a team of SAS/R analysts and planners to analyse a mixture of customer,..."
"

    Progress Sales Recruitment
",SENIOR SCIENTIST LCMS,"
To maintain an efficient data archive according to protocol number and category for any of the data generated by the jobholder including all data entry and..."
"

    CK Clinical
",Patient Safety Specialist,"
Must have extensive pharmacovigilance experience including data entry, case assessment and follow-up in the pharmaceutical or healthcare industry...."
"

    Medic International
",Respiratory Physiologists- Notifications for future Opportunitie,"
ANS - A ssociation of Neurophysiological Scientists. HCPC - Health & Care Professions Council (Clinical Scientist register)...."
"


        Alliance Consulting
",Production technical specialist,"
This processing will be carried out in accordance with the UK Data Protection Act 1998. Applications are invited from Chemists, R&D Engineers and Scientists, as..."
"

    Vantage Consulting (Midlands) Ltd
",Senior Digital Analyst Gibraltor,"
You'll be heavily involved in A/B testing and personalisation campaigns, working in partnership with data scientists and CRM analysts, also as a Senior Digital..."
"

    Opus Recruitment Solutions
",Data Engineer,"
The Data Engineer will oversee the generation of new data products for the BI and Product teams and improve the performance of our Redshift data warehouse...."
"

    CK Science
",Physical Properties Scientist,"
Making a contribution to the progression of the Programme(s) and Project(s), as appropriate, primarily via the generation of Physical Properties analytical data..."
"

    CK Science
",Bioanalysis Scientist,"
Experience of handling data within a LIMS. For more information or to apply for this Bioanalysis Scientist position please contact Natalie on 01246 457700 or..."
"

    CK Clinical
",Medical Information Scientist/ Pharmacist,"
Interpret and analyse clinical data. Hendre Moolman is currently recruiting for a Medical Information Scientist to join a pharmaceutical company based in..."
"

    TechNET IT Recruitment Ltd
",AI Specialist – Leading Health Care Company,"
You will be working with highly skilled data science, NLP, data, engineering and product teams to release great products across the company...."
"

    CK Science
",Biologicals Scientist,"
This work is completed within a regulatory framework to deliver high quality analytical data to clients. For more information or to apply for this Biologicals..."
"

    UCB S.A.
","Research Scientist/Senior Scientist, Bone Research","
Research Scientist/Senior Scientist. Excellent attention to detail with the ability to maintain meticulous documentation of experiments and data...."
"

    RCQ Associates
",(Matlab) Quantitative Analyst,"
(Matlab) Quantitative Analyst A leading city of London headquartered Asset Manager is seeking a Quantitative Research and Development Analyst to join their"
"


        JPMorgan Chase
",Corporate - Risk - Quantitative Analyst – Model Validation – Rates - VP - London,"
Corporate - Risk - Quantitative Analyst – Model Validation – Rates - VP - London - 160060344 Job Description Model Risk Group (MRG) carries out the review"
"

    Nicoll Curtin
",Quantitative Analyst - Investment Bank,"
Data analysis for trends and signal extraction. Experience in analysing large volumes of data including cleaning and subsequent pattern identification and..."
"

    Animal and Plant Health Agency
",Scientific support for advice to policy - APHAs Epidemiology & Risk Policy Advice Team,"
 Experience of working in the development of data systems.  Experience of scientific data handling include use of relevant software...."
"


        NPL
",Electronics Design Engineer,"
Experience specifying data acquisition hardware against specified requirements. Ability to communicate with engineers and scientists and translate requirements..."
"

    Client Server
",Java Developer SQL Java - Machine Learning,"
Good understanding of relational databases, SQL and Data Modelling with experience of analysing large data sets...."
"


        Volt Europe
",Senior LC/MS Scientist,"
Senior LC/MS Scientist. LC-MS/MS / troubleshooting / biomarker / non-smoker/ liquid-liquid extraction / solid phase extraction / GLP / GCP / APISciex / Standard..."
"

    McGregor Boyall
","Lead Engineer, BI and Data Science","
Keywords - Business Intelligence, BI, Data Science, Data Scientist,. Coach Data Scientists in the efficient use of data processing tools...."
"

    Hyper Recruitment Solutions Ltd
",Senior Technician - Manufacturing,"
Collate, analyse and evaluate data ready for final QC pass and helping resolve any technical issues with the purification process...."
"

    SEC Recruitment
",HEOR Statistician / Econometrician (senior consultant level),"
As the senior statistician you will work as part of the modelling team, with responsibility for analysis of clinical trial data to populate economic models, and..."
"

    Harnham
",SENIOR CUSTOMER SCIENTIST - R/PYTHON/SQL - .COM BRAND,"
THE ROLE - Senior Customer Scientist:. Senior Customer Scientist - R/Python/SQL - .com Brand. SQL, R, Insight, Analyst, Customer, Regression, Propensity,..."
"


        Health and Safety Executive
",Mechanical Engineer,"
HID employs around 300 professional engineers and scientists across a wide range of disciplines. Please note you will be requested to remove any personal data..."
"

    C.K. Associates Limited
",Medical Information Scientist/Pharmacist,"
Interpret and analyse clinical data. Hendre Moolman is currently recruiting for a Medical Information Scientist to join a pharmaceutical company based in..."
"

    CK Science
",QC Scientist,"
Record data into appropriate records and notify the Senior QC Scientist and/or QC Manager of any OOS, OOT, OOE or questionable results...."
"

    Mobile Team
",Android Developer Java Mobile - Machine Learning,"
Android Developer / Java Software Engineer (Android Java AI Mathematics Machine Learning). Hugely innovative IOT start-up is seeking a skilled Android"
"

    Claremont Consulting
",Risk Manager,"
Data Scientist (Risk Modeler) - London - Salary negotiable. I'm looking for a Data Scientist for a key client of mine that works within capital markets...."
"


        Skyscanner
",Senior Backend Engineer,"
Experience of statistical analysis and collaborating with data scientists is a bonus. Proven success in developing and driving improvement of Backend data..."
"

    UCB S.A.
","Principal/Senior Principal Scientist, Biomarker","
Principal/Senior Principal Scientist. Work with the project teams and Biomarker Specialist to deliver critical data in a timely manner...."
"


        GlaxoSmithKline
",Associate Medical Director - SERM,"
O Developing safety plans and strategy for safety data collection, data analysis and interpretation. Analytical thinking, with proven ability to analyse..."
"

    Oxford Knight Limited
",DevOps Engineer - SaaS fintech - Python / Docker / MongoDB / CI,"
My client is a high-growth, financial technology start-up based in London - using big data analytics, natural language processing, and machine learning to..."
"

    LinkPoint Resources Ltd
",Clinical Trials Contract Manager,"
Reply promptly to queries from scientists, clinicians and study teams and keep them apprised of progress. Strong IT skills, with the ability to use computerised..."
"

    Scintillant
",Clinical Trials Contract Manager,"
Reply promptly to queries from scientists, clinicians and study teams and keep them apprised of progress. Strong IT skills, with the ability to use computerised..."
"

    Harnham
",SENIOR CUSTOMER SCIENTIST- SAS/R - ONLINE,"
Experience analysing customer data. Senior Customer Scientist - SAS/R - Online. You will be joining a team of SAS/R data scientists and will have the chance to..."
"

    Berkeley Square IT
",DevOps Engineer,"
Your role will be to work alongside a team of passionate data scientists, developers, UX designers and NLP specialists to develop and release great products...."
"

    Harnham
",LEAD BIG DATA ENGINEER/ARCHITECT | SOCIAL MEDIA ANALYTICS,"
As part of a cutting edge Data Science team, you'll be responsible for developing greenfield data platforms to analyse complex data from a whole host of social..."
"


        Adecco
",Sensory Analyst & Panel Leader,"
Data handling, data quality checks and reporting. 5 Sensory Scientists. Ideally sensory experience including statistics related to - - Sensory data handling...."
"

    TechNET IT Recruitment Ltd
",Cluster Engineer – Innovate Start Up,"
They develop their systems using graph technologies that enable them to perform parallelised semantic search on big data...."
"

    Harnham
",SENIOR SAS/R STATISTICIAN – MARKETING CONSULTANCY,"
Proven experience in SAS or R to analyse large sets of data. You will work with a team of SAS/R analysts and planners to analyse a mixture of customer,..."
"

    Progress Sales Recruitment
",SENIOR SCIENTIST LCMS,"
To maintain an efficient data archive according to protocol number and category for any of the data generated by the jobholder including all data entry and..."
"

    CK Clinical
",Patient Safety Specialist,"
Must have extensive pharmacovigilance experience including data entry, case assessment and follow-up in the pharmaceutical or healthcare industry...."
"

    Medic International
",Respiratory Physiologists- Notifications for future Opportunitie,"
ANS - A ssociation of Neurophysiological Scientists. HCPC - Health & Care Professions Council (Clinical Scientist register)...."
"


        Alliance Consulting
",Production technical specialist,"
This processing will be carried out in accordance with the UK Data Protection Act 1998. Applications are invited from Chemists, R&D Engineers and Scientists, as..."
"

    Vantage Consulting (Midlands) Ltd
",Senior Digital Analyst Gibraltor,"
You'll be heavily involved in A/B testing and personalisation campaigns, working in partnership with data scientists and CRM analysts, also as a Senior Digital..."
"

    Opus Recruitment Solutions
",Data Engineer,"
The Data Engineer will oversee the generation of new data products for the BI and Product teams and improve the performance of our Redshift data warehouse...."
"

    Xcede Digital
",Senior Software Engineer,"
If you are interested in this or other Data Scientist opportunities please contact Matthew Jones on matthew.jones@xcede.co.uk or +44(0)203 301 9931...."
"

    The JM Group
",Quantitative Analyst / Financial Engineer,"
Financial Services Company is hiring for a Quantitative Analyst for their team based in London. Salary range is between £60K - £95K. You will be responsible"
"

    Caerusa Consulting Ltd
",Business Solutions Architect - Award winning data science agency,"
Please only apply if you consider yourself to be one of the best in the industry & are ready to work at the very bleeding edge of data analytics, predictive..."
"

    Client Server
",C# Developer C# .Net Data Agile,"
As a C# Developer you'll you be working alongside Data Scientists and domain experts within an engineering environment...."
"


        National Physical Laboratory
","IT Apprenticeship – IT, Software, Web & Telecoms Professionals","
Network administration of data and VOIP systems. You will provide first line support to end users and scientists and support for IT projects gaining a real..."
"

    Zest Scientific
",Bioassay Scientist.,"
Are you an Analytical Scientist proficient within Bioassays? At least 2 years of demonstrated QC experience (sample preparation, sample analysis/testing, data..."
"

    ABILITY Resorucing Ltd
","Software Engineer - Java, tensor flow","
Working with Data Scientists applying NLP and Machine Learning approaches to large scale data extraction, using frameworks such as Tensor Flow, and Spark...."
"

    Client Server
",C# Developer C# .Net - Machine Learning,"
C# Developer / Senior .Net Software Engineer (Agile Machine Learning C# .Net). Hugely innovative sports content company is seeking skilled a Senior C#"
"

    Lyst
",Senior Python Engineer - Microservices,"
50 engineers and data scientists. Our internal analytics system collects ~100M data points/day. A secure data management and CRM system for internal and..."
"

    Meet Recruitment
",Senior Statistician,"
Working as a Senior Statistician within this dynamic, innovative and exciting clinical data division you have the opportunity to work either home or office..."
"

    Mobile Team
",Android Developer Java Mobile - Machine Learning,"
Android Developer / Java Software Engineer (Android Java AI Mathematics Machine Learning). Hugely innovative IOT start-up is seeking a skilled Android"
"

    Claremont Consulting
",Risk Manager,"
Data Scientist (Risk Modeler) - London - Salary negotiable. I'm looking for a Data Scientist for a key client of mine that works within capital markets...."
"


        Skyscanner
",Senior Backend Engineer,"
Experience of statistical analysis and collaborating with data scientists is a bonus. Proven success in developing and driving improvement of Backend data..."
"

    UCB S.A.
","Principal/Senior Principal Scientist, Biomarker","
Principal/Senior Principal Scientist. Work with the project teams and Biomarker Specialist to deliver critical data in a timely manner...."
"


        GlaxoSmithKline
",Associate Medical Director - SERM,"
O Developing safety plans and strategy for safety data collection, data analysis and interpretation. Analytical thinking, with proven ability to analyse..."
"

    Oxford Knight Limited
",DevOps Engineer - SaaS fintech - Python / Docker / MongoDB / CI,"
My client is a high-growth, financial technology start-up based in London - using big data analytics, natural language processing, and machine learning to..."
"

    LinkPoint Resources Ltd
",Clinical Trials Contract Manager,"
Reply promptly to queries from scientists, clinicians and study teams and keep them apprised of progress. Strong IT skills, with the ability to use computerised..."
"

    Scintillant
",Clinical Trials Contract Manager,"
Reply promptly to queries from scientists, clinicians and study teams and keep them apprised of progress. Strong IT skills, with the ability to use computerised..."
"

    Harnham
",SENIOR CUSTOMER SCIENTIST- SAS/R - ONLINE,"
Experience analysing customer data. Senior Customer Scientist - SAS/R - Online. You will be joining a team of SAS/R data scientists and will have the chance to..."
